"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🧑‍💻 Gestion du compte","0","Changement de mot de passe","3","0","","0"
"0","🔄 Transferts","0","Envoi par email","2","0","","0"
"0","💹 Trading","1","Achat de cryptomonnaies","7","0","","0"
"0","🔐 Authentification","0","Redirections après connexion","5","0","","0"
"0","💹 Trading","5","Mode Expert","0","0","","0"
"0","🔐 Authentification","0","Connexion","5","0","","0"
"0","🔐 Authentification","0","Réinitialisation du mot de passe","3","0","","0"
"0","📈 Investissement","1","DCA (Achats récurrents)","0","0","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","0"
"0","🧭 Navigation","1","Navigation in-app","2","1","","0"
"0","🔐 Authentification","0","Authentification à deux facteurs","4","0","","0"
"0","🧭 Navigation","3","Navigation vers achat de cryptomonnaies","3","0","","0"
"0","🔄 Transferts","2","Retraits","3","0","","0"
"0","🔗 Connexions tierces","1","Boutons marchands","3","0","","0"
"0","🚀 Onboarding","0","Accessibilité des pages d'onboarding","3","0","","0"
"0","🔗 Connexions tierces","1","Tokens API","3","0","","0"
"0","💹 Trading","3","Échange de cryptomonnaies","3","0","","0"
"0","📈 Investissement","0","Plan Bitcoin Famille","3","0","","0"
"0","🍪 Cookies","0","Widget de gestion des cookies Axeptio","3","0","","0"
"0","🔐 Authentification","0","Accessibilité de la page de connexion","3","0","","0"
"0","🧑‍🦲 Accessibilité","0","Intégration d'axe-core dans les tests","4","0","","0"
"0","🔐 Authentification","0","Déconnexion","1","0","","0"
"0","💶 Portefeuille","0","Comptes bancaires","1","0","","0"
"0","🔄 Transferts","0","Dépôts","3","0","","0"
"0","💹 Trading","1","Vente de cryptomonnaies","2","0","","0"
"0","🔐 Authentification","1","Gestion de session et expiration","2","0","","0"
"0","🧭 Navigation","0","Navigation vers dépôt de cryptomonnaies","1","0","","0"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
"0","💹 Trading","0","Formulaire de trading V2","2","0","","0"
"0","📜 Historique","2","Historique des transactions","0","0","","0"
"0","🔄 Transferts","2","Transferts internes","0","0","","0"
"0","🚀 Onboarding","0","Flows complets d'onboarding","2","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
"0","💶 Portefeuille","1","Adresses de retrait de cryptomonnaies","0","0","","0"
"0","🔐 Authentification","0","Vérouillage de compte","1","0","","0"
"0","🔎 Support client","0","Tickets de support","1","0","","0"
"0","💶 Portefeuille","0","Portefeuilles non hébergés","1","0","","0"
"0","📜 Historique","0","Export des transactions","1","0","","0"
