"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🔐 Authentification","0","Connexion","5","0","","0"
"0","🔐 Authentification","0","Redirections après connexion","5","0","","0"
"0","🔗 Connexions tierces","3","Boutons marchands","1","0","","0"
"0","🧑‍💻 Gestion du compte","0","Changement de mot de passe","3","0","","0"
"0","⚙️ Nettoyage et préparatifs","1","Nettoyage du compte de test (DCA, withdrawal addresses, etc.)","0","0","Répartition des fonds pour stabiliser les scénarios d'achat/vente","0"
"0","📜 Historique","0","Historique des transactions","2","0","","0"
"0","🍪 Cookies","0","Widget de gestion des cookies Axeptio","3","0","","0"
"0","🧑‍🦲 Accessibilité","0","Intégration d'axe-core dans les tests","4","0","","0"
"0","🔐 Authentification","0","Authentification à deux facteurs","4","0","","0"
"0","🔐 Authentification","0","Déconnexion","1","0","","0"
"0","📈 Investissement","0","DCA (Achats récurrents)","3","0","","0"
"0","⚙️ Nettoyage et préparatifs","0","Nettoyage du compte de test (DCA, withdrawal addresses, etc.)","1","0","Suppression des DCA actifs","0"
"0","⚙️ Nettoyage et préparatifs","0","Nettoyage du compte de test (DCA, withdrawal addresses, etc.)","1","0","Suppression des boutons de paiement créés","0"
"0","🧭 Navigation","0","Navigation in-app","1","1","","0"
"0","🔐 Authentification","0","Vérouillage de compte","1","0","","0"
"0","📜 Historique","0","Export des transactions","4","0","","0"
"0","🔐 Authentification","0","Accessibilité de la page de connexion","3","0","","0"
"0","🔐 Authentification","0","Gestion de session et expiration","3","0","","0"
"0","🔗 Connexions tierces","0","Tokens API","4","0","","0"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
"0","🧭 Navigation","0","Navigation vers dépôt de cryptomonnaies","1","0","","0"
"0","⚙️ Nettoyage et préparatifs","0","Nettoyage du compte de test (DCA, withdrawal addresses, etc.)","1","0","Suppression des tokens API créés","0"
"0","🔐 Authentification","0","Réinitialisation du mot de passe","3","0","","0"
"0","📈 Investissement","0","Plan Bitcoin Famille","3","0","","0"
"0","⚙️ Nettoyage et préparatifs","0","Nettoyage du compte de test (DCA, withdrawal addresses, etc.)","1","0","Suppression des adresses de retrait BTC enregistrées","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
